k,j,RSS,RSS_normalized
1,0,12803412.59172882,1.0
2,0,11738020.217543274,0.9167884057041321
3,0,11343810.412706254,0.8859989734326387
4,0,10347904.341337698,0.8082145496133262
5,0,9795598.910056444,0.7650771885914647
6,0,9818048.044518264,0.7668305597572368
7,0,9260226.270603528,0.7232623493353453
8,0,9271116.703032052,0.7241129375945692
9,0,8496432.202895908,0.6636068424745384
10,0,8252204.285167305,0.6445316220222679
11,0,8247336.855247154,0.6441514554154919
12,0,8134377.157164382,0.6353288311914045
13,0,7861307.590089003,0.6140009574609441
14,0,7780409.720133244,0.6076824959276479
15,0,7574058.6488141455,0.591565615381878
16,0,7458934.3884789655,0.5825739298050536
17,0,7409319.611625084,0.578698808504508
18,0,7281862.909657539,0.5687439077267354
19,0,7274100.038877652,0.5681375950952967
20,0,7282783.366366995,0.5688157992402567
21,0,7270561.1996487435,0.5678611969706909
22,0,7183139.876431951,0.561033226490909
23,0,6947248.3969527,0.5426091166850874
24,0,7240057.634857139,0.5654787411548633
25,0,6844611.384630131,0.5345927373340951
26,0,6721852.46413604,0.5250047529108333
27,0,6734128.500095882,0.5259635625931653
28,0,6766756.578953571,0.528511951831107
29,0,6656102.971681567,0.5198694429312932
30,0,6585394.259794325,0.5143467972006603
1,1,12793743.95665946,1.0
2,1,11969149.343266,0.935547044228266
3,1,10961166.635414636,0.8567598876878474
4,1,10361222.247500688,0.8098663129886553
5,1,9940715.870164396,0.7769981878518061
6,1,9455820.453416964,0.7390972091867585
7,1,9127748.935837448,0.7134540887139006
8,1,8829338.47264833,0.6901293712426096
9,1,8661880.61790143,0.6770403290268058
10,1,8358304.0762562705,0.65331181431887
11,1,8327841.645880478,0.6509307732038541
12,1,7982045.419296835,0.6239022327113232
13,1,8007843.645120602,0.6259187046612983
14,1,7696092.386932995,0.6015512279286306
15,1,7701082.997723595,0.6019413100506041
16,1,7776099.510048182,0.6078048408965172
17,1,7763872.302378833,0.6068491231870828
18,1,7687401.200477272,0.6008718969614668
19,1,7678641.945384236,0.6001872455316188
20,1,7511611.378797658,0.5871316015268289
21,1,7500986.880131007,0.5863011566857689
22,1,7423773.896394262,0.5802659426000162
23,1,7267496.398166757,0.5680507928551943
24,1,7311591.025826641,0.5714973701674542
25,1,7266414.434852936,0.5679662231375662
26,1,6880664.210649316,0.5378147502371861
27,1,7301825.740217689,0.5707340841706394
28,1,7253208.620970733,0.5669340144325195
29,1,7072487.033189517,0.552808236365252
30,1,6884382.100471301,0.5381053524123257
1,2,12844357.090633105,1.0
2,2,11861538.661275951,0.9234824738659838
3,2,11097080.881493166,0.86396545994395
4,2,10439738.821280088,0.8127879618741982
5,2,10039751.152838646,0.7816468416438102
6,2,9762971.790404806,0.7600981288136691
7,2,9143254.811037945,0.7118499389670323
8,2,8889826.889906673,0.6921192572876754
9,2,8705511.70123134,0.6777693612691549
10,2,8610574.619674688,0.6703780157244342
11,2,8342298.324241046,0.6494913108827193
12,2,7947769.018949023,0.6187751526111824
13,2,7844176.103187883,0.6107099053566751
14,2,7769367.193338854,0.6048856426613017
15,2,7599786.950915015,0.5916829388414658
16,2,7568925.186927008,0.58928019001019
17,2,7454868.517195778,0.5804002850895765
18,2,7423096.975090798,0.5779267053003514
19,2,7267463.071796384,0.5658097965133859
20,2,7314593.230514468,0.5694791244825106
21,2,7095642.846945682,0.5524326984119945
22,2,7245280.088606256,0.5640827359035323
23,2,7001989.957779857,0.5451413339236838
24,2,6922371.284887338,0.5389426061609232
25,2,6887397.393315446,0.536219706811029
26,2,6815226.982434807,0.5306008649825603
27,2,6738794.5025566565,0.5246501989166121
28,2,6720883.089977929,0.5232557022942947
29,2,6687247.309641234,0.5206369818632639
30,2,6840370.932159896,0.5325584522364545
1,3,12789573.793412516,1.0
2,3,11709275.895174634,0.9155329242641137
3,3,11304125.741111236,0.8838547651160679
4,3,10323470.61230131,0.8071786268295028
5,3,9984516.21624107,0.78067622717684
6,3,9541437.573055208,0.7460324892116175
7,3,9083967.79498472,0.7102635272852932
8,3,8935724.966352781,0.6986726149510374
9,3,8914666.1221554,0.6970260515441921
10,3,8352860.055303863,0.6530991720463855
11,3,8077256.019909293,0.6315500540033335
12,3,7955761.369618005,0.6220505466504094
13,3,7800284.616338462,0.6098940232360307
14,3,7812713.849079573,0.6108658486417774
15,3,7596319.976865713,0.5939462955973032
16,3,7559703.4098111605,0.591083294245889
17,3,7399892.196891272,0.5785878651173435
18,3,7360737.3220339455,0.575526396808095
19,3,7276164.7014579745,0.5689137745313831
20,3,7131829.83160851,0.5576284203686191
21,3,7081724.713665584,0.5537107669149338
22,3,7204712.036408623,0.5633269843690593
23,3,7070063.820754318,0.552799016992722
24,3,6996874.009852329,0.5470764016746349
25,3,7068247.943891563,0.5526570359625418
26,3,7008687.507267749,0.5480000835428692
27,3,6677982.491594312,0.5221426921226975
28,3,6632318.635358488,0.5185722950966962
29,3,6859866.396864995,0.5363639561154324
30,3,6916472.057059403,0.5407898784415981
1,4,12825707.790787527,1.0
2,4,11813208.24843567,0.9210570239968263
3,4,11010437.47567634,0.8584662659775343
4,4,10710659.765205303,0.8350930755570913
5,4,9951970.118858682,0.7759392527254521
6,4,9443908.94498784,0.7363265325420268
7,4,9237561.006301954,0.7202379125569294
8,4,9280378.069612825,0.7235762907586863
9,4,8631622.879460268,0.6729938823072366
10,4,8375465.571839573,0.6530217051924041
11,4,8358979.792818322,0.6517363352705123
12,4,8059888.252643723,0.6284166444547407
13,4,7844393.410900718,0.6116148550129298
14,4,7684411.971233476,0.5991413570760632
15,4,7583944.246847954,0.5913080486907212
16,4,7489873.76118077,0.5839735228149053
17,4,7428593.703505406,0.5791956143614335
18,4,7401975.5874204375,0.5771202422635219
19,4,7255554.149785591,0.5657039960786511
20,4,7160997.675374877,0.5583315784348752
21,4,7152960.835585544,0.5577049588423795
22,4,7029241.235492706,0.5480587387576132
23,4,7006661.684274043,0.5462982471272892
24,4,6942196.1043864265,0.5412719685827304
25,4,6892970.787128136,0.5374339490315873
26,4,7023283.02349938,0.5475941864622923
27,4,6716878.459758939,0.5237043108516437
28,4,6688149.36712283,0.5214643492756639
29,4,6648670.077403497,0.5183862119624396
30,4,6651053.17268224,0.5185720181041057
1,5,12867944.617409434,1.0
2,5,11793474.296228018,0.9165002373628705
3,5,11191677.425482456,0.8697331048768189
4,5,10531774.86627132,0.818450434735518
5,5,10159480.795544367,0.7895185359905339
6,5,9632159.91394835,0.7485391179657944
7,5,9168635.734335514,0.7125175004196853
8,5,8824299.199725294,0.6857582513827912
9,5,8635573.51281776,0.6710919085814553
10,5,8570904.589487452,0.666066325611288
11,5,8097779.847151693,0.6292986244435619
12,5,7979000.524928344,0.6200679877136953
13,5,7920563.402074875,0.6155266934673392
14,5,7787527.078848482,0.6051881097088729
15,5,7761598.597400575,0.6031731428886997
16,5,7552962.97697803,0.5869595496051013
17,5,7402499.202276507,0.5752666352217153
18,5,7318416.493027826,0.568732358633757
19,5,7214278.863218596,0.5606395642594062
20,5,7151782.395276319,0.555782808203919
21,5,7093866.30178944,0.5512820044462993
22,5,7002850.74828864,0.5442089592781018
23,5,6984754.088501726,0.5428026228098495
24,5,6937195.671148033,0.5391067398411468
25,5,7161964.103872005,0.5565740541175757
